"entidad","municipio","causa","total_hectareas","fecha_termino"
"Puebla","Tlachichuca","Fogatas",80,2015-03-04
"Puebla","San Pedro Cholula","Fumadores",0.75,2015-03-04
"Puebla","Tlahuapan","Cazadores",0.75,2015-03-04
"Puebla","Tlahuapan","Actividades agropecuarias",0.5,2015-03-04
"Puebla","Puebla","Actividades agropecuarias",2.5,2015-03-04
"Puebla","Zautla","Actividades agropecuarias",1,2015-03-04
"Puebla","Tlachichuca","Intencional",2,2015-03-04
"Puebla","Acajete","Otras causas",1,2015-03-05
"Puebla","Acajete","Otras causas",2,2015-03-05
"Puebla","Tlahuapan","Actividades agropecuarias",0.5,2015-03-05
"Puebla","Calpan","Actividades agropecuarias",1,2015-03-05
"Puebla","Tepatlaxco de Hidalgo","Intencional",1.5,2015-03-05
"Puebla","Tlahuapan","Actividades agropecuarias",1,2015-03-06
"Puebla","San Nicolás de los Ranchos","Otras causas",0.5,2015-03-06
"Puebla","San Nicolás de los Ranchos","Fumadores",1,2015-03-06
"Puebla","Atlixco","Actividades agropecuarias",1,2015-03-06
"Puebla","San Nicolás Buenos Aires","Actividades agropecuarias",106,2015-03-06
"Puebla","Tepatlaxco de Hidalgo","Intencional",0.75,2015-03-07
"Puebla","Tianguismanalco","Intencional",0.5,2015-03-07
"Puebla","San Nicolás Buenos Aires","Actividades agropecuarias",1,2015-03-08
"Puebla","Tlahuapan","Actividades agropecuarias",0.5,2015-03-08
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",8,2015-03-09
"Puebla","Puebla","Actividades agropecuarias",1.5,2015-03-10
"Puebla","Tepatlaxco de Hidalgo","Otras causas",1,2015-03-10
"Puebla","San Nicolás de los Ranchos","Cazadores",40,2015-03-11
"Puebla","Tepatlaxco de Hidalgo","Otras causas",0.5,2015-03-10
"Puebla","San Salvador el Seco","Actividades agropecuarias",1.5,2015-03-16
"Puebla","Tlahuapan","Actividades agropecuarias",1.5,2015-03-11
"Puebla","Tlahuapan","Cazadores",1,2015-03-11
"Puebla","Zacatlán","Actividades agropecuarias",2.5,2015-04-03
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",2,2015-04-04
"Puebla","Libres","Naturales",3,2015-04-05
"Puebla","Puebla","Fogatas",4,2015-04-05
"Puebla","Tlahuapan","Cazadores",1,2015-04-05
"Puebla","Tlachichuca","Fogatas",20,2015-04-05
"Puebla","San Salvador el Verde","Cazadores",7,2015-04-08
"Puebla","Tlahuapan","Intencional",1,2015-04-08
"Puebla","Tlahuapan","Fumadores",7.5,2015-04-08
"Puebla","Tochimilco","Intencional",1,2015-04-18
"Puebla","Tlahuapan","Actividades agropecuarias",1.5,2015-04-18
"Puebla","Tlatlauquitepec","Intencional",0.5,2015-04-18
"Puebla","Tlahuapan","Intencional",1,2015-04-19
"Puebla","Atlixco","Intencional",1,2015-04-19
"Puebla","San Salvador el Seco","Actividades agropecuarias",0.5,2015-04-19
"Puebla","Tlahuapan","Cazadores",1,2015-04-20
"Puebla","Cohetzala","Cazadores",240,2015-04-20
"Puebla","Chignautla","Otras causas",1,2015-04-24
"Puebla","San Salvador el Seco","Intencional",6.5,2015-04-25
"Puebla","San Salvador el Seco","Intencional",26,2015-04-27
"Puebla","Atlixco","Intencional",1,2015-04-26
"Puebla","Huitzilan de Serdán","Actividades agropecuarias",0.5,2015-04-26
"Puebla","Tlatlauquitepec","Intencional",1,2015-04-27
"Puebla","Coyomeapan","Actividades agropecuarias",45,2015-04-28
"Puebla","Puebla","Intencional",1,2015-05-07
"Puebla","San Salvador el Verde","Cazadores",4,2015-05-08
"Puebla","Cuyoaco","Quema de basureros",1,2015-05-09
"Puebla","Jolalpan","Actividades agropecuarias",278,2015-04-25
"Puebla","Tepatlaxco de Hidalgo","Fogatas",4,2015-07-29
"Puebla","Zacatlán","Otras causas",5.4,2015-07-24
"Puebla","Puebla","Fogatas",1,2016-01-01
"Puebla","Libres","Actividades agropecuarias",2,2016-01-01
"Puebla","Puebla","Fogatas",0.25,2016-01-01
"Puebla","Atlixco","Intencional",2,2016-01-01
"Puebla","Libres","Actividades agropecuarias",0.25,2016-01-01
"Puebla","Tlachichuca","Actividades agropecuarias",1,2016-01-04
"Puebla","Calpan","Fumadores",1,2016-01-08
"Puebla","Zacatlán","Intencional",1,2016-01-09
