"entidad","tipo_de_fuente","pm_25","co","so2","nox"
"Puebla","Fuentes móviles que no circulan por carretera",0.029,0.159,0.017,0.495
"Puebla","Fuentes de área",4.358,33.27,0.115,0.965
"Puebla","Fuentes móviles carreteros",0.005,2.892,0.012,0.444
"Puebla","Fuentes móviles que no circulan por carretera",0.026,0.142,0.015,0.441
"Puebla","Fuentes de área",17.833,124.466,0.46,4.324
"Puebla","Fuentes móviles carreteros",0.616,100.763,0.456,18.086
"Puebla","Fuentes móviles que no circulan por carretera",0.133,0.72,0.078,2.237
"Puebla","Fuentes de área",10.293,70.369,0.251,2.044
"Puebla","Fuentes móviles carreteros",0.169,21.749,0.107,4.332
"Puebla","Fuentes móviles que no circulan por carretera",0.06,0.327,0.036,1.016
"Puebla","Fuentes de área",29.213,214.14,0.769,7.38
"Puebla","Fuentes móviles carreteros",0.541,122.561,0.537,21.023
"Puebla","Fuentes móviles que no circulan por carretera",0.103,0.558,0.061,1.735
"Puebla","Fuentes fijas",0.678,4.456,0.032,5.306
"Puebla","Fuentes de área",1918.602,4582.703,16.753,150.29
"Puebla","Fuentes móviles carreteros",66.255,1600.657,16.358,604.296
"Puebla","Fuentes móviles que no circulan por carretera",0.112,0.607,0.066,1.887
"Puebla","Fuentes de área",64.464,475.582,2.17,16.789
"Puebla","Fuentes móviles carreteros",5.22,464.273,2.528,95.861
"Puebla","Fuentes móviles que no circulan por carretera",1.62,7.451,0.706,64.643
"Puebla","Fuentes de área",94.321,650.692,2.628,20.044
"Puebla","Fuentes móviles carreteros",1.032,97.851,0.513,20.342
"Puebla","Fuentes móviles que no circulan por carretera",0.252,1.367,0.149,4.248
"Puebla","Fuentes de área",12.594,68.049,0.236,2.35
"Puebla","Fuentes móviles carreteros",0.746,96.385,0.456,17.059
"Puebla","Fuentes móviles que no circulan por carretera",0.198,1.073,0.117,3.333
"Puebla","Fuentes de área",10.836,74.589,0.267,3.934
"Puebla","Fuentes móviles carreteros",5.018,351.489,2.066,77.932
"Puebla","Fuentes móviles que no circulan por carretera",0.648,2.941,0.275,26.979
"Puebla","Fuentes de área",51.17,421.79,1.464,12.062
"Puebla","Fuentes móviles carreteros",0.257,107.141,0.445,17.226
"Puebla","Fuentes móviles que no circulan por carretera",0.117,0.633,0.069,1.968
"Puebla","Fuentes fijas",20.483,571.871,44.68,360.378
"Puebla","Fuentes de área",25.191,169.819,0.711,6.175
"Puebla","Fuentes móviles carreteros",3.234,248.143,1.457,57.404
"Puebla","Fuentes móviles que no circulan por carretera",0.229,1.245,0.135,3.866
"Puebla","Fuentes fijas",589.436,723.002,10.813,666.482
"Puebla","Fuentes de área",27.594,131.503,0.648,51.652
"Puebla","Fuentes móviles carreteros",79.321,4183.771,28.155,1002.248
"Puebla","Fuentes móviles que no circulan por carretera",0.053,0.286,0.031,0.889
"Puebla","Fuentes de área",21.204,144.824,0.513,4.228
"Puebla","Fuentes móviles carreteros",0.475,64.582,0.296,11.04
"Puebla","Fuentes móviles que no circulan por carretera",0.167,0.908,0.099,2.822
"Puebla","Fuentes de área",208.777,1741.717,6.032,51.76
"Puebla","Fuentes móviles carreteros",5.257,456.216,2.507,93.487
"Puebla","Fuentes móviles que no circulan por carretera",0.457,2.479,0.269,7.703
"Puebla","Fuentes de área",111.72,552.994,1.709,19.108
"Puebla","Fuentes móviles carreteros",9.961,555.763,3.56,135.442
"Puebla","Fuentes móviles que no circulan por carretera",2.616,12.854,1.292,81.636
"Puebla","Fuentes de área",100.207,669.837,3.942,29.813
"Puebla","Fuentes móviles carreteros",22.508,1350.134,8.367,308.843
"Puebla","Fuentes móviles que no circulan por carretera",2.262,11.146,1.123,69.69
"Puebla","Fuentes de área",29.413,153.168,0.675,6.297
"Puebla","Fuentes móviles carreteros",1.71,143.327,0.795,31.548
"Puebla","Fuentes móviles que no circulan por carretera",1.025,4.595,0.425,44.151
"Puebla","Fuentes de área",77.325,483.107,1.851,17.163
"Puebla","Fuentes móviles carreteros",6.148,711.023,3.551,132.69
"Puebla","Fuentes móviles que no circulan por carretera",0.47,2.551,0.277,7.925
"Puebla","Fuentes de área",42.594,319.715,1.115,11.844
"Puebla","Fuentes móviles carreteros",7.167,554.102,3.181,125.026
"Puebla","Fuentes móviles que no circulan por carretera",0.231,1.254,0.136,3.896
"Puebla","Fuentes de área",80.082,673.441,2.325,18.794
"Puebla","Fuentes móviles carreteros",0.182,51.898,0.209,8.132
